"","usr_ids","lats","longs"
"1",2155909658,48.8590256,2.29811714
"2",100806686,40.3695142767089,-60.6585859771519
"3",104647913,48.8681797954545,2.31447128987013
"4",1169929861,45.55151097,-2.8079357725
"5",1177554198,47.0299606890909,3.81180087954545
"6",122042885,57.8387481816267,17.1483226007733
"7",123664049,48.8616612116327,2.34193884306122
"8",1305509970,48.8569,2.3412
"9",1305570188,48.8569,2.3412
"10",1450956072,43.4063493263946,11.4243739528571
"11",15255661,41.2383656560116,-67.9142802253757
"12",15956049,48.8915952734426,2.19615163213115
"13",16251766,31.2390592888889,79.2026829130303
"14",163050214,48.8581318957746,2.35094751147887
"15",1709776248,59.3170478078035,21.7126640511561
"16",180283669,-11.6730113941912,100.652730394559
"17",18218483,48.1709701879702,-1.85227293783985
"18",184454249,48.8708881258824,2.3749521854902
"19",186535909,27.350772720574,-78.3289805418429
"20",1873008726,46.2467553570161,1.50779682177419
"21",206814220,48.62955963,3.02836772547619
"22",21777519,48.8662095533663,2.32888611960396
"23",222234801,48.8980300164,2.4594899261
"24",250673385,37.5001369690476,-6.79923183714286
"25",2577313446,48.87231163,2.33713479333333
"26",261226578,51.77539398,-2.169121952
"27",263633697,48.0818115677193,2.69352639049123
"28",289554265,47.6176790702747,-4.3648098232967
"29",31080997,48.867227536875,2.34326929828125
"30",3126303755,41.6934121734528,-55.0521352645283
"31",314060080,48.8576387129762,2.34599101595238
"32",391039050,48.7430537167401,3.64937463737885
"33",399599978,47.2927450671429,1.72946009630952
"34",4003942823,48.7124525851163,2.52691088465116
"35",438779935,40.776492123629,-44.8858090673387
"36",57183081,48.1094656267308,-4.09570579030769
"37",60888395,47.2117785696716,5.3195574301791
"38",610380102,40.5235531100518,-9.51250384357513
"39",69157731,48.1944779171111,2.32532275
"40",701844182,48.8637662234211,2.38152775789474
"41",823755344,48.6896879872414,1.75168894931034
"42",892131031,47.6331943902759,8.44801253834483
